date,signal_symbol,trade_symbol,regime,vix_regime,signal_close,trade_close,rsi,target_exposure_pct,actual_exposure_pct,trade_action,allocation_change_pct,cumulative_return_pct,reason
2026-01-02,QQQ,TQQQ,CHOP,VIX_BULL,613.12,52.35,47.23,93.18,0.00,HOLD,0.00,0.00,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-01-05,QQQ,TQQQ,BULL,VIX_BULL,617.99,53.60,51.76,100.00,0.00,HOLD,0.00,0.00,Panic re-entry lock | Targets suppressed | Diff below min rebalance change
2026-01-06,QQQ,TQQQ,BULL,VIX_BULL,623.42,55.01,56.27,100.00,0.00,HOLD,0.00,0.00,Panic re-entry lock | Targets suppressed | Diff below min rebalance change
2026-01-07,QQQ,TQQQ,BULL,VIX_BULL,624.02,55.17,56.75,100.00,0.00,HOLD,0.00,0.00,Panic re-entry lock | Targets suppressed | Diff below min rebalance change
2026-01-08,QQQ,TQQQ,BULL,VIX_BULL,620.47,54.19,53.03,100.00,0.00,HOLD,0.00,0.00,Panic re-entry lock | Targets suppressed | Diff below min rebalance change
2026-01-09,QQQ,TQQQ,BULL,VIX_BULL,626.65,55.76,58.17,100.00,0.00,HOLD,0.00,0.00,Panic re-entry lock | Targets suppressed | Diff below min rebalance change
2026-01-12,QQQ,TQQQ,BULL,VIX_BULL,627.17,55.89,58.58,100.00,0.00,HOLD,0.00,0.00,Panic re-entry lock | Targets suppressed | Diff below min rebalance change
2026-01-13,QQQ,TQQQ,BULL,VIX_BULL,626.24,55.60,57.50,100.00,0.00,HOLD,0.00,0.00,Panic re-entry lock | Targets suppressed | Diff below min rebalance change
2026-01-14,QQQ,TQQQ,BULL,VIX_BULL,619.55,53.83,50.27,100.00,0.00,HOLD,0.00,0.00,Panic re-entry lock | Targets suppressed | Diff below min rebalance change
2026-01-15,QQQ,TQQQ,BULL,VIX_BULL,621.78,54.38,52.42,100.00,0.00,HOLD,0.00,0.00,Panic re-entry lock | Targets suppressed | Diff below min rebalance change
